15	f˸24ساعت§n-12634	f˸مثال	f˸"در شبانه روز باید6 بار قطره ها را در چشمهایت به فاصله ی 4 ساعت بچکانید"
178	f˸آب سفید§n-19372	f˸تعریف	f˸"بیماری ناشی از تارشدن عدسی یا قرنیه‌ی چشم که مانع از عبور آزادانه نور به شبکیه می‌شود و بینایی را مختل می‌کند"
6208	f˸ارشمیدس§n-24354	f˸مثال	f˸"ارشمیدس در ریاضیات از ظرفیتهای هوشی بسیار والا و چشمگیری برخوردار بود"	
7116	f˸استخوان اشکی§n-25581	f˸تعریف	f˸"تیغه نازکی در گوشه کاسه چشم که لوله اشکی از داخل آن می گذرد"	
7231	f˸استراحت دادن§v-7895	f˸مثال	f˸"از جلوی کامپیوتر بیا این ور، یه کم به چشمت استراحت بده."	
8008	f˸اسکیمو§n-20867	f˸تعریف	f˸"قوم بومی شمالگرد(شمال کانادا، آلاسکا، گروئنلند و خاور سیبری) دارای رنگ پوست قهوه‌ای روشن، صورت تخت و چشمان کوچک و تنگ"	
8155	f˸اشعه ماورای بنفش§n-25520	f˸تعریف	f˸"انرژی الکترومغناطیسی است که دارای طول موج کوتاه و انرژی زیادی می باشد و برای چشم انسان نامرئی است"	
8182	f˸اشک آلود§a-978	f˸مثال	f˸"چشمان اشک آلود"	
8186	f˸اشک آور§a-979	f˸تعریف	f˸"ایجاد کننده اشک در چشم"	
8199	f˸اشک§n-11280	f˸مثال	f˸"ترشح اشکی سطح کره چشم را مرطوب می‌نماید"	
8200	f˸اشک§n-11280	f˸تعریف	f˸"مایع شوری که از غدد اشکی ترشح می شود و سطح کره ی چشم را مرطوب می نماید"	
8987	f˸اغماض§n-22124	f˸تعریف	f˸"چشمپوشی از گناه یا خطای دیگری"	
10393	f˸امهات§n-22822	f˸تعریف	f˸"@ادبی@ آنچه سرچشمه و شالوده‌ی چیزهای دیگر است"	
10826	f˸انتظار داشتن#v1	f˸عضو هم‌نشیم	f˸چشم داشت داشتن§v-8332	
10830	f˸انتظار#n1	f˸عضو هم‌نشیم	f˸چشم به راهی§n-22594	
10833	f˸انتظار#n4	f˸عضو هم‌نشیم	f˸چشم‌انتظاری§n-20424	
12067	f˸اپتومتری§n-20805	f˸مثال	f˸"کسی که اپتومتری خوانده حق تشخیص و درمان بالینی بیماریهای چشم را ندارد"	
12068	f˸اپتومتری§n-20805	f˸تعریف	f˸"علم مراقبت های چشمی و بینایی است"	
12075	f˸اپل§n-22600	f˸مرتبط با	f˸چشم نواز کردن§v-9373	
12430	f˸ایثارگر§a-683	f˸تعریف	f˸"دارای روحیه و توانایی چشم پوشیدن از جان یا متعلقات و چیزهای باارزش خود برای کسی یا در راه هدفی"	
12722	f˸ایما§n-10500	f˸تعریف	f˸"حرکات دست یا چشم و ابرو برای کمک به بیان افکار"	
12787	f˸ایگواسو§n-24266	f˸تعریف	f˸"رود ایگواسو رودی در آمریکای جنوبی است که سرچشمه آن در منطقه سررا دو مار در ایالت پارانا ی برزیل می‌باشد"	
13011	f˸بابلرود§n-24315	f˸مثال	f˸"سرچشمه بابلرود سوادکوه می‌باشد"	
13012	f˸بابلرود§n-24315	f˸تعریف	f˸"بابلرود یا رود بابل یا باول رود رودی در شمال ایران است که از کوههای البرز سرچشمه گرفته و پس از گذراندن شهرستانهای بابل و بابلسر در مازندران به دریای خزر می ریزد"	
13295	f˸بادامی#a1	f˸عضو هم‌نشیم	f˸چشم‌بادامی§a-2296	
14912	f˸بالابان§n-21184	f˸تعریف	f˸"بالابان از بزرگ‌ترین انواع شاهین و از محبوبترین پرندگان شکاری تارک سفید، پس سر نخودی، ، نوارهای مشخص زیر تنه، سبیل کوتاه و نوار پشت چشم و بدنب کشیده و چشمانی تیزبین است"	
14912	f˸بالابان§n-21184	f˸تعریف	f˸"بالابان از بزرگ‌ترین انواع شاهین و از محبوبترین پرندگان شکاری تارک سفید، پس سر نخودی، ، نوارهای مشخص زیر تنه، سبیل کوتاه و نوار پشت چشم و بدنب کشیده و چشمانی تیزبین است"	
14970	f˸بالشتک چشم#n1	f˸عضو هم‌نشیم	f˸چشم بند§n-10957	
14970	f˸بالشتک چشم#n1	f˸عضو هم‌نشیم	f˸چشم بند§n-10957	
15036	f˸بام چشم#n1	f˸عضو هم‌نشیم	f˸جفن§n-15942	
15733	f˸بخیل#a1	f˸عضو هم‌نشیم	f˸تنگ چشم§a-1080	
16616	f˸برجسته#a1	f˸عضو هم‌نشیم	f˸چشمگیر§a-1564	
17114	f˸برمه خو§n-24251	f˸تعریف	f˸"رود برمه خو رودی در آمریکای جنوبی و به طول 1450 کیلومتر است که از رشته کوه‌های سیررا دسانتا ویکتوریا در نزدیکی شهر تاریخا ی بولیوی و ایالت هوخوس آرژانتین سرچشمه می گیرد"	
18096	f˸بسیجی‌وار§r-21813	f˸مثال	f˸"بسیجی وار و بدون چشمداشت مالی به کار مشغول شدند"	
18282	f˸بطور چشمگیر#r1	f˸عضو هم‌نشیم	f˸یک‌فصل§r-20933	
19677	f˸به چشم آمدن#v1	f˸عضو هم‌نشیم	f˸نمودن§v-9207	
19678	f˸به چشم خوردن#v1	f˸عضو هم‌نشیم	f˸به چشم خوردن§v-8071	
19678	f˸به چشم خوردن#v1	f˸عضو هم‌نشیم	f˸به چشم خوردن§v-8071	
19679	f˸به چشم خوردن§v-8071	f˸مثال	f˸"در میان اسرا یک نوجوان هم به چشم می خورد."	
19679	f˸به چشم خوردن§v-8071	f˸مثال	f˸"در میان اسرا یک نوجوان هم به چشم می خورد."	
19680	f˸به چشم خوردن§v-8071	f˸تعریف	f˸"دیده شدن"	
19681	f˸به چشم دیدن#v1	f˸عضو هم‌نشیم	f˸به چشم دیدن§v-8072	
19681	f˸به چشم دیدن#v1	f˸عضو هم‌نشیم	f˸به چشم دیدن§v-8072	
19682	f˸به چشم دیدن§v-8072	f˸ISA	f˸رویت کردن§v-8581	
19683	f˸به چشم دیدن§v-8072	f˸مثال	f˸"به چشم دیدنم که به او شلیک کرد."	
19683	f˸به چشم دیدن§v-8072	f˸مثال	f˸"به چشم دیدنم که به او شلیک کرد."	
19684	f˸به چشم دیدن§v-8072	f˸تعریف	f˸"با چشم خود رؤیت کردن"	
19684	f˸به چشم دیدن§v-8072	f˸تعریف	f˸"با چشم خود رؤیت کردن"	
20180	f˸به‌طورچشمگیر#r1	f˸عضو هم‌نشیم	f˸یک‌فصل§r-20933	
20570	f˸بوگ جنوبی§n-24281	f˸مثال	f˸"این رودخانه از غرب اوکر بوگ جنوبی ارتفاعات پودولین سرچشمه می‌گیرد و با پیمودن مسیری به سمت جنوب غربی به دریای سیاه می‌ریزد"	
22093	f˸بینا§a-1034	f˸مثال	f˸"پسرک بینا بود اما چشم چپش بسیار ضعیف بود"	
22997	f˸تاجیکی§n-19237	f˸مثال	f˸"در گویش تاجیکی واژه های باقی مانده از دوران فارسی میانه، بیشتر از فارسی دری به چشم می‌آید"	
23112	f˸تارسیر§n-22864	f˸تعریف	f˸"جانور پستاندار شبزی، با جثه‌ای به بزرگی یک سنجاب و چشمهای برجسته و گوشهای بزرگ و نازک که از حشرات و مارمولکها تغذیه می‌کند"	
24713	f˸تراخم§n-21624	f˸مرتبط با	f˸چشم‌پزشکی§n-21307	
26178	f˸تطابقی§a-17916	f˸مثال	f˸"پیرچشمی با استفاده از لنزهای تطابقی درمان می شود"	
27404	f˸تماسی§a-18331	f˸مثال	f˸"لنز الکترونیک تماسی تصاویر را به مقابل چشم شما می آورد"	
27833	f˸تنبلی چشم#n1	f˸عضو هم‌نشیم	f˸آمبلیوپی§n-25176	
28029	f˸تنگ نظر#a1	f˸عضو هم‌نشیم	f˸تنگ چشم§a-1080	
28034	f˸تنگ چشم#a1	f˸عضو هم‌نشیم	f˸تنگ چشم§a-1080	
28034	f˸تنگ چشم#a1	f˸عضو هم‌نشیم	f˸تنگ چشم§a-1080	
28035	f˸تنگ چشم§a-1080	f˸متضاد	f˸دست و دل باز§a-573	
28036	f˸تنگ چشم§a-1080	f˸مثال	f˸"ثروت مند خسیس به نیازمندان کمک نکرد"	
28037	f˸تنگ چشم§a-1080	f˸تعریف	f˸"دارنده حالتی روانی که از خرج کردن پول یا دادن چیزی به دیگران احساس ناراحتی می کند"	
28757	f˸توقع داشتن#v1	f˸عضو هم‌نشیم	f˸چشم داشت داشتن§v-8332	
29399	f˸تک‌رنگ‌بین§a-18020	f˸مثال	f˸"بیمار تک رنگ بین به چشم پزشک مراجعه کرد"	
29457	f˸تیبر§n-24308	f˸تعریف	f˸"رود تیبر که در لاتین تیبریس و در ایتالیایی تِوِرِه نامیده می‌شود سومین رود طولانی ایتالیاست که از کوه‌های آپنین در امیلیا-رومانیا سرچشمه می‌گیرد و با گذر از مسیری 406 کیلومتری در میان اومبریا و لاتزیو به دریای تیرانی می‌ریزد"	
29808	f˸ثریا§n-25786	f˸مثال	f˸"به طور معمول فقط هفت ستاره از بیش از دویست ستاره شناخته شده آن، با چشم غیر مسلح قابل دیدن هستند"	
30703	f˸جاهلانه#r1	f˸عضو هم‌نشیم	f˸چشم‌و‌گوش‌بسته§r-15309	
31078	f˸جرأت داشتن§v-9847	f˸مثال	f˸"هیچکس جرأت نداشت به چشمان او نگاه کند"	
31764	f˸جفن§n-15942	f˸تعریف	f˸"دو پرده ی متحرک که چشم را می پوشانند و مژگان از لب آنها روییده است."	
31941	f˸جلیدیه§n-25405	f˸مثال	f˸"عدسی چشم با توجه به فاصله اجسام با چشم، نازک یا قطور می شود"	
31941	f˸جلیدیه§n-25405	f˸مثال	f˸"عدسی چشم با توجه به فاصله اجسام با چشم، نازک یا قطور می شود"	
31942	f˸جلیدیه§n-25405	f˸تعریف	f˸"جسم بیضی شکل شفافی که پشت عنبیه چشم جای دارد و پرتوهای نور را روی شبکیه متمرکز می کند"	
33031	f˸جوشان§a-1877	f˸مثال	f˸"چشمه جوشان"	
33713	f˸حبله‌رود§n-24284	f˸تعریف	f˸"حبله‌رود که از شمال کوه‌های البرز سرچشمه می‌گیرد مهمترین منبع تأمین آب دشت گرمسار بوده و تنها رودخانه دائمی استان سمنان به شمار می‌آید"	
33848	f˸حدقه#n1	f˸عضو هم‌نشیم	f˸چشمخانه§n-18935	
36891	f˸خرفه§n-22179	f˸مثال	f˸"خرفه برای سردرد ، گرمی ، التهاب معده ، چشم و جریان خون مفید است"	
36933	f˸خرمایی§a-253	f˸مثال	f˸"دخترک چشمانی خرمایی رنگ داشت"	
36954	f˸خرمگس§n-20849	f˸تعریف	f˸"نام عمومی تیره‌ای از مگسهای تندپرواز از تیره‌ی دوبالان، با چشمهای جانبی بزرگ و خرطوم برجسته که در جاهای مرطوب و آبها تخم گذاری می‌کنند"	
37183	f˸خسیس#a1	f˸عضو هم‌نشیم	f˸تنگ چشم§a-1080	
37507	f˸خط§n-14517	f˸مثال	f˸"خط چشم"	
37841	f˸خلق§n-13221	f˸مثال	f˸"او در چشم خلق به قهرمانی ملی تبدیل شده است"	
38167	f˸خواب§n-12427	f˸تعریف	f˸"حالت طبیعی استراحت ذهن و جسم که در طی آن معمولاً چشمها بسته , ذهن ناهشیار و جسم غیر فعال است"	
38793	f˸خورخوره§n-24136	f˸مثال	f˸"خورخوره (رود) از فلات اوباتو و شمال کوه «چهل‌چشمه‌» سرچشمه گرفته و از جنوب به شمال، به موازات حاشیه شرقی رودخانه زرینه‌رود جاری است"	
38793	f˸خورخوره§n-24136	f˸مثال	f˸"خورخوره (رود) از فلات اوباتو و شمال کوه «چهل‌چشمه‌» سرچشمه گرفته و از جنوب به شمال، به موازات حاشیه شرقی رودخانه زرینه‌رود جاری است"	
39621	f˸خیره شدن#v2	f˸عضو هم‌نشیم	f˸چشم دوختن§v-8506	
39624	f˸خیره شدن§v-8505	f˸مثال	f˸"چشم هاش خیره شده بود و نمی توانست ببیند."	
39636	f˸خیرگی§n-22635	f˸مثال	f˸"زل زده بود به ویترین مغازه و از لباس ها چشم بر نمی داشت"	
39637	f˸خیرگی§n-22635	f˸تعریف	f˸"حالت چشم دوختن به چیزی"	
40677	f˸دانوب§n-24132	f˸تعریف	f˸"دانوب رودی است در اروپا که از جنگل سیاه در آلمان سرچشمه می‌گیرد و در ناحیه‌ی دلتای دانوب در کشور رومانی به دریای سیاه می‌ریزد"	
41475	f˸درخش§n-24441	f˸مثال	f˸"نور فلاش دوربین ها چشمش را اذیت می کرد"	
41493	f˸درخشندگی§n-23113	f˸مثال	f˸"تلالو زیورها چشم را خیره می‌کرد"	
41807	f˸درملاءعام§r-23180	f˸تعریف	f˸"جلوی چشم همگان"	
42376	f˸دست و دل باز§a-573	f˸متضاد	f˸تنگ چشم§a-1080	
42891	f˸دسه آدو§n-24250	f˸مثال	f˸"این رود از دریاچه بوئنوس آیرس در شمال غربی ایالت و از ارتفاعات آند سرچشمه می گیرد و پس از طی 615 کیلومتر به س رود دسه آدو جنوب شرقی، به اقیانوس اطلس می ریزد"	
43576	f˸دل‌رحمی§n-22743	f˸مثال	f˸"به خاطر دل رحمی، از خطای او چشم پوشید"	
44395	f˸دوران‌ساز§a-18967	f˸تعریف	f˸"ویژگی آن که تاثیرش در دوره ای خاص بسیار چشمگیر است"	
45045	f˸دید§n-13555	f˸مثال	f˸"چشمهایش سو نداشت"	
45072	f˸دیدسنجی§n-17272	f˸تعریف	f˸"سنجش میزان بینایی چشم"	
45095	f˸دیدنی§a-1013	f˸تعریف	f˸"ویژگی آن که یا آنچه دیدنش لذت بخش و چشم نواز است"	
45299	f˸دینورآب§n-24295	f˸تعریف	f˸"دینورآب رودخانه‌ای در دشت دینور و چمجمال واقع در استان کرمانشاه است که از روستاهای دامنه غربی اسدآباد سرچشمه گرفته و پس از طی مسیری طولانی، در جنوب بیستون به رودخانه‌ی گاماسیاب می‌ریزد"	
45554	f˸ذره‌بین§n-20569	f˸تعریف	f˸"اسباب چشمی شامل یک عدسی یا دستگاهی از عدسیها که از اشیای بسیار ریز تصویرهای نسبتاً درشت به دست می دهد"	
46449	f˸راین§n-24144	f˸تعریف	f˸"رود راین با 1٬320 کیلومتر درازا یکی از طویل‌ترین و مهم‌ترین رودهای اروپاست که با سرچشمه گرفتن از کوههای آلپ از کشورهای سوئیس، آلمان، فرانسه و هلند عبور می‌کند"	
47490	f˸رقابت سرعت§n-11618	f˸ISA	f˸هم چشمی§n-14643	
47500	f˸رقابت#n3	f˸عضو هم‌نشیم	f˸هم چشمی§n-14643	
47572	f˸رقیب§a-2095	f˸مرتبط با	f˸هم چشمی§n-14643	
48689	f˸رود آلومینه§n-24263	f˸مثال	f˸"این رود از دریاچه آلومینه سرچشمه می‌گیرد و با جریان به س رود آلومینه جنوب، از شهر آلومینه گذر می‌کند وپس از طی 170 کیلومتر به رود کولون کورا می‌ریزد"	
48695	f˸رود آمودریا§n-24123	f˸تعریف	f˸"آمودریا یا جیحون پرآب‌ترین رود آسیای میانه است که از کوههای پامیر سرچشمه گرفته و حدود 1126 کیلومتر از آن در قسمت مرزهای شمالی افغانستان با تاجیکستان، ازبکستان و ترکمنستان جاری است"	
48711	f˸رود استروما§n-24128	f˸مثال	f˸"رود استروما از کوه‌های ویتوشا در بلغارستان سرچشمه می‌گیرد و پس از طی 400 کیلومتر به سوی جنوب، به دریای اژه میریزد"	
48730	f˸رود ایسار§n-24316	f˸تعریف	f˸"ایسار رودی است که سرچشمه‌ی آن کوه آلپ است و از آلمان و اتریش می‌گذرد و طول این رود 295 کیلومتر است"	
48751	f˸رود بهمن‌شیر§n-24228	f˸تعریف	f˸"بهمن‌شیر نام کنونی یکی از شاخه‌های رود کارون است، سرچشمه گرفته از کوه‌های بختیاری در استان خوزستان"	
48770	f˸رود تجن§n-24300	f˸تعریف	f˸"رود تجن از کوه‌های ‌هزار جریب سرچشمه می‌گیرد و وارد دریای خزر می‌شود"	
48789	f˸رود تیزاب§n-24122	f˸مثال	f˸"تیزاب از قله‌ی دنا سرچشمه می‌گیرد."	
48790	f˸رود تیزاب§n-24122	f˸تعریف	f˸"تیزاب رودخانه‌ای در استان کهگیلویه و بویراحمد در ایران است که از قله‌ی دنا سرچشمه می‌گیرد"	
48795	f˸رود جاجرود§n-24214	f˸مثال	f˸"جاجرود (رود) از کوه‌های کلون بستک، در بلندی‌های خرسنگ کوه، سرچشمه می‌گیرد"	
48807	f˸رود جگین§n-24168	f˸مثال	f˸"رودخانه جگین از کوههای بشاگرد سرچشمه می‌گیرد و با پیوستن چند رودخانه دیگر از جمله رودخانه انگهران به ان به دریای عمان میریزد"	
48814	f˸رود حصارک§n-24275	f˸تعریف	f˸"رودخانه‌ی حصارک جوی آبی است که در دره جنی در شرق گلابدره و امامزاده قاسم در تهران از چشمه شکل میگیرد"	
48848	f˸رود دینورآب§n-24294	f˸تعریف	f˸"دینورآب رودخانه‌ای در دشت دینور و چمجمال واقع در استان کرمانشاه است که از روستاهای دامنه غربی اسدآباد سرچشمه گرفته و پس از طی مسیری طولانی، در جنوب بیستون به رودخانه‌ی گاماسیاب می‌ریزد"	
48868	f˸رود ریگان§n-24118	f˸مثال	f˸"ریگان از قله دنا سرچشمه می‌گیرد"	
48880	f˸رود سادو§n-24180	f˸مثال	f˸"رود سادو از چشمه‌های کالدئیرانیو سرچشمه می‌گیرد"	
48880	f˸رود سادو§n-24180	f˸مثال	f˸"رود سادو از چشمه‌های کالدئیرانیو سرچشمه می‌گیرد"	
48893	f˸رود سفیدرود§n-24149	f˸مثال	f˸"بعد شعبات کوچک دیگر از کوههای طارم به آن ملحق شده وارد تنگه منجیل می‌شود و قبل از منجیل شاهرود که از الموت و طالقان سرچشمه می‌گیرد و طارم پائین را مشروب می‌کند و به قزل اوزن پیوسته از این محل به بعد در همه جا سفیدرود نامیده می‌شود"	
48902	f˸رود سنگان§n-24278	f˸تعریف	f˸"رودخانه‌ی سنگان یکی از سرچشمه‌های رودخانه کن است"	
48908	f˸رود سورسکی دونتس§n-24280	f˸تعریف	f˸"رودخانه سِورسکی یا سورسکی دونتس رودخانه‌ای است که از ارتفاعات مرکزی روسیه سرچشمه می‌گیرد و با گذر از خاک اوکراین به رودخانه دون روسیه می‌پیوندد"	
48953	f˸رود شور دهرم§n-24336	f˸مثال	f˸"رود شور دهرم از کوه های سلامتی و دولوو میشوان در 65 کیلومتری شمال باختری فیروزآباد واقع در دهستان خواجه ای سرچشمه گرفته و به نام رودخانه هونیقان متوجه جنوب می شود"	
48963	f˸رود فرات§n-24126	f˸تعریف	f˸"فُرات یکی از دو رود بزرگ منطقه‌ی میان‌رودان است که از کوهستان ارمنستان سرچشمه گرفته و به سوی آشور، سوریه، بابل و خلیج فارس روان است"	
48973	f˸رود فریزر§n-24322	f˸تعریف	f˸"رود فریزر بلندترین رود استان بریتیش کلمبیای کاناداست که از گردنه فریزر در نزدیک کوه رابسون در رشته کوههای راکی سرچشمه می گیرد و با گذر 2213 کیلومتری در شهر ونکوور به تنگه جورجیا و اقیانوس آرام می ریزد"	
48980	f˸رود قره‌سو§n-24219	f˸مثال	f˸"قره‌سو (رود) از کوه قلعه ماران در شرق گرگان سرچشمه گرفته و در آق باش تپه در قسمت جنوبی ترکمن‌صحرا دلتائی تشکیل می‌دهد"	
48986	f˸رود قزل‌اوزن§n-24150	f˸تعریف	f˸"قِزِل‌اوزَن یکی از طولانی‌ترین رودخانه‌های ایران است که از کوه‌های کردستان سرچشمه می‌گیرد و پس از پیوستن به شاهرود به دریای خزر می‌ریزد"	
49021	f˸رود مرغاب§n-24231	f˸مثال	f˸"این رود از شمال غرب افغانستان سرچشمه می‌گیرد و بس مرغاب (رود) شمال غرب جریان دارد و به بیابان قره‌قوم در ترکمنستان منتهی می‌شود"	
49030	f˸رود مهران شور§n-24329	f˸مثال	f˸"مهران شور (رود) فصلی از ارتفاعات کوه سیاه، کوه پردی و کوه های شمال گاوبست سرچشمه می گیرد و پس از عبور از دشت لامرد از قسمت جنوب خاوری استان فارس خارج شده و به خلیج فارس می ریزد"	
49039	f˸رود میریان§n-24120	f˸مثال	f˸"میریان از قله دنا سرچشمه می‌گیرد"	
49068	f˸رود هری‌رود§n-24161	f˸تعریف	f˸"هَری‌رود، رودی است که از کوههای مرکزی افغانستان سرچشمه می‌گیرد و با گذر از ولایت‌های غور و هرات در افغانستان، از مرز مشترک افغانستان و ایران می‌گذرد و وارد شنزارهای کشور ترکمنستان می‌شود"	
49120	f˸رود کشف‌رود§n-24185	f˸مثال	f˸"کشف‌رود از مشرق به شهر قوچان و از کوه‌های هزار مسجد و بینالود سرچشمه می‌گیرد"	
49131	f˸رود کن§n-24260	f˸تعریف	f˸"رودخانه‌ی کن یا رودخانه‌ی سولقان یا رود کن یا رود سولقان رودی به طول 33 کیلومتر است که از رشته کوه توچال سرچشمه گرفته، از تهران گذشته، و در جنوب تهران خشک میشود"	
49137	f˸رود کورا§n-24181	f˸تعریف	f˸"کورا نام رودی است که از شرق ترکیه سرچشمه می‌گیرد و از کشورهای گرجستان و جمهوری آذربایجان از میان رشته کوه‌های قفقاز عبور کرده وبه رود ارس پیوسته و در منطقه تالش گشتاسبی به دریای خزر می‌ریزد."	
49176	f˸رود ینی‌سئی§n-24276	f˸تعریف	f˸"ینی‌سِی یا ینی‌سئی رودی در آسیاست که از شمال مغولستان سرچشمه می‌گیرد و با گذر از سیبری به اقیانوس منجمد شمالی می‌ریزد"	
49198	f˸رودخانه آتوئل§n-24256	f˸مثال	f˸"سرچشمه رود آتوئل دریاچه آتوئل است که با ذوب توده‌های برفی در ارتفاعات آند به وجود می آید"	
49217	f˸رودخانه اترک§n-24157	f˸تعریف	f˸"اترک رودی خروشان و سیل‌گیر است که از کوههای هزار مسجد در خراسان سرچشمه گرفته و در ناحیه چات مرز ایران و ترکمنستان می‌شود، پس از آن وارد خاک جمهوری ترکمنستان شده و در خلیج حسنقلی به دریای خزر می‌ریزد"	
49228	f˸رودخانه اودر§n-24301	f˸تعریف	f˸"اودر رودی در اروپای مرکزی است که از جمهوری چک سرچشمه گرفته و به سمت غرب لهستان روانه می‌شود و سپس بعنوان جزیی از خط اودر-نیسه، 187 کیلومتر از مرز بین آلمان و لهستان را تشکیل می‌دهد"	
49236	f˸رودخانه اگر§n-24156	f˸تعریف	f˸"اگر ، از رودهای سمت چپ الب به طول 291 کیلومتر که از کوه‌های فیشتل‌گبیرگه در آلمان سرچشمه گرفته و در شهر ترزینشتات به رودخانه البه منتهی می‌شود"	
49249	f˸رودخانه بالهارود§n-24282	f˸مثال	f˸"بالهارود از کوه‌های اوجارود سرچشمه گیرد و وارد دریاچه‌ی محمودچاله شود"	
49279	f˸رودخانه تنگ شیو§n-24333	f˸مثال	f˸"تنگ شیو (رود) از کوه‌های کهگیلویه و بویراحمد سرچشمه می‌گیرد و پس از طی مسافتی، در خاک کهگیلویه وارد منطقه ممسنی می‌شود و در دهستان رستم به رودخانه فهیلان می‌پیوندد"	
49295	f˸رودخانه جلابی§n-24169	f˸مثال	f˸"رودخانه جلابی از کوههای شمالی بندرعباس سرچشمه می‌گیرد و به طرف جنوب جریان می‌یابد و پس از دریافت آب شعبات متعدد، در حدود 40 کیلو متر شرق بندرعباس به خلیج فارس می‌ریزد"	
49301	f˸رودخانه جنه‌سی§n-24310	f˸تعریف	f˸"جنه‌سی نام رودخانه‏ای در آمریکای شمالی است که از منطقه مرزی ردیف‌های دوقلو در پنسیلوانیای امریکا سرچشمه گرفته و به دریاچه اونتاریو می‏ریزد"	
49320	f˸رودخانه دجله§n-24134	f˸تعریف	f˸"دجله رودی است که از کوه‌های آناتولی در ترکیه سرچشمه می‌گیرد و با گذشتن از عراق به فرات و کارون می‌پیوندد و به خلیج فارس می‌ریزد"	
49338	f˸رودخانه رندان§n-24277	f˸تعریف	f˸"رودخانه‌ی رندان یکی از سرچشمههای رودخانه کن است"	
49383	f˸رودخانه سریس§n-24121	f˸مثال	f˸"سریس از قله دنا سرچشمه می‌گیرد"	
49413	f˸رودخانه سیمره§n-24237	f˸مثال	f˸"رود سیمره از به هم ریختن دو رود گاماسیاب که از کوه گرین مابین الشتر در استان لرستان و نهاوند در استان همدان سرچشمه می‌گیرد"	
49414	f˸رودخانه سیمره§n-24237	f˸تعریف	f˸"رود سیمره از سرشاخه‌های مهم رودخانه کرخه است که از بلندی‌های برف‌گیر شمال غربی ایران سرچشمه گرفته و پس از گذر از هولیلان در محل پل کشکان به رودخانه کشکان پیوسته و رودخانه کرخه را بوجود می‌آورد"	
